890132401384,890132401384,ApsaraPlatinumExtraDarkPencilPackof10,50,37,Pencils,000,10
8901324007862,8901324007862,ApsaraBeautyDarkPencilspackof10,40,30,Pencils,000,10
8901860633396,8901860633396,FeviGumLime,10,8.5,Glue,000,10
6933093002016,6933093002016,VividGlueStick8gm,10,7.5,Glue,000,21
890132406123,890132406123,ApsaraNonDustEraserJumbo,5,3.9,Eraser,000,40
8901238910036,8901238910036,KangaroStaples24/6-1M,15,9.9,Staples,000,20
8901238510038,8901238510038,Kangaropunch528cm,70,46.5,Punch,000,4
8901238311055,8901238311055,KangaroPunchSHP-30Single,180,130,Punch,000,2
8901324010664,8901324010664,ApsaraNonDustEraserSmall,3,2.4,Eraser,000,100
8901180548073,8901180548073,FaberCastellHighlighter,20,14.5,Highlighter,000,50
8901238310300,8901238310300,KangaroStapleRemoverSR-100,45,32,Remover,000,5
8901238910005,8901238910005,KangaroStaplesNo.10-1M,7,4.5,Staples,000,100
6930557913048,6930557913048,WinshineCharacterRulerwithGame,20,12.5,Rulers,000,12
890142503008,890142503008,CamlinPencilLeads0.5mm,5,3.95,Pencils,000,20
8901425030752,8901425030752,CamlinPencilLeads0.7mm,5,3.95,Pencils,000,20
6949127300324,6949127300324,KentBinderClips25mm1"Pack,35,27,BinderClips,000,12
6924561101096,6924561101096,AmkayBinderClips41mmPack,70,54,BinderClips,000,6
6949127300416,6949127300416,KentBinderClips19mm3/4"Pack,25,18,BinderClips,000,6
4806021316917,4806021316917,AmkayBinderClips32mmPack,50,39,BinderClips,000,6
102,102,InfoBinderClips15mmPack,16,12.5,BinderClips,000,7
262,262,RubberBandNylon250gm,45,35,RubberBand,000,11
132,132,RoomDécorStickers,20,16.5,Stickers,000,7
6486635299868,6486635299868,Stickers,20,16.5,Stickers,000,8
263,263,KeyChainSmiley,10,6.5,KeyChain,000,12
6900557454681,6900557454681,ArtistPaletteMini,65,27,Drawing,000,2
6900557455909,6900557455909,ArtistPaletteBig,65,45,Drawing,000,1
264,264,MetalHook18Nos,180,69,Hooks,000,1
265,265,MetalHookSingle,10,3.83333333333333,Hooks,000,18
8901198425083,8901198425083,ParkerVectorPenPack,525,420,PensandRefills,000,1
8901198422761,8901198422761,ParkerVectorSteel,400,320,PensandRefills,000,1
8901198412649,8901198412649,ParkerBetaPen,175,140,PensandRefills,000,1
8901198470908,8901198470908,ParkerQuinkRollerRefiller,100,80,PensandRefills,000,1
8901198470885,8901198470885,ParkerQuinkRollerRefiller,100,80,PensandRefills,000,1
6958462875015,6958462875015,BoardMagnet20mm,35,24,Magnet,000,1
6936304305463,6936304305463,ArtistPaintBrushSet,175,120,Drawing,000,1
79,79,DiamondProjectPaperA4100nos,60,36.5,Book,000,1
266,266,DiamondProjectPaperA450nos,30,21,Book,000,2
